Date,Open,High,Low,Close,Volume
2017-08-13,19.1226,20.0995,17.3433,18.2044,220111.31136425
2017-08-20,18.2044,18.9503,16.367,16.4819,242431.76043656
2017-08-27,16.2513,16.5682,15.1897,15.2751,355252.06697671
2017-09-03,15.39,16.367,14.8168,16.0796,167351.86145529
2017-09-10,16.0796,16.941,14.9877,16.3088,107002.84635098
2017-09-17,16.3088,18.2044,16.1371,17.9753,125147.08566796
2017-09-24,17.9165,21.5363,17.7455,19.4114,312778.62169512
2017-10-01,19.1808,21.4207,18.4338,18.5486,275965.33270191
2017-10-08,18.377,19.8122,18.1578,19.0084,120134.24189165
2017-10-15,18.5486,18.8927,17.372,18.6062,220594.35962596
2017-10-22,18.4919,18.6636,16.8836,18.5486,168468.30152988
2017-10-29,18.5486,21.8222,17.4581,19.9846,342968.44201637
2017-11-05,19.8409,20.9609,18.1464,20.0995,254378.50447663
2017-11-12,20.0995,20.7604,18.3252,18.9503,128432.37067548
2017-11-19,18.8361,19.2375,17.4007,18.1464,128216.59983813
2017-11-26,17.9165,18.2628,17.2282,17.5723,77655.228330384
2017-12-03,17.3433,19.2391,17.1701,18.1464,183057.19427516
2017-12-10,17.8022,21.5363,17.2282,21.3057,852368.58727195
2017-12-17,21.1915,23.029,19.8704,20.1578,479515.18824646
2017-12-24,20.0414,20.9034,19.354,19.7547,632802.96731572
2017-12-31,19.4114,19.8122,18.7778,18.8361,407492.27480609
2018-01-07,18.9503,23.6605,18.9503,23.2,1032475.9853899
2018-01-14,23.0865,24.1194,22.3969,22.9134,739919.96340001
2018-01-21,22.856,23.029,19.9279,21.8796,390599.50634579
2018-01-28,21.9371,22.6835,19.6686,20.3287,386324.45962626
2018-02-04,20.3287,20.6743,18.377,18.6636,366575.16369332
2018-02-11,18.377,18.7728,16.2513,17.3433,510016.83222944
2018-02-18,17.4581,18.2628,16.3088,18.2628,361918.68981613
2018-02-25,18.2628,20.0995,18.2628,19.5838,335743.59913966
2018-03-04,19.5256,20.9609,19.354,19.7547,205029.62586785
2018-03-11,20.7309,22.1095,20.2727,21.3057,379848.55036566
2018-03-18,21.249,21.6785,20.2727,20.846,233109.06819275
2018-03-25,20.7885,20.7885,19.0084,19.4114,118668.39226753
2018-04-01,19.2391,19.4681,18.2044,18.6636,87570.942359446
2018-04-08,18.5486,19.2391,17.5723,17.859,144925.61506919
2018-04-15,17.9165,18.7563,16.3088,18.0321,112321.94550935
2018-04-22,18.0321,18.2628,17.0559,17.4581,123871.94962267
2018-04-29,17.4581,17.8022,16.4819,16.6536,137291.50363645
